epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.131,1.41802,3.08589,1.58723,0.00276,0.78548,0.30286,0.19457,1.1585,3.71914,1.46411,0.00023338,0.00023338,0.00023338
2,290.245,1.29371,2.21689,1.46185,0.87467,0.04987,0.39635,0.23373,1.15804,3.6392,1.45827,0.000473858,0.000473858,0.000473858
3,425.652,1.27109,2.01523,1.46943,0.71521,0.25512,0.43594,0.2362,1.51422,3.53177,1.8335,0.000704434,0.000704434,0.000704434
4,560.548,1.27701,1.83069,1.43799,0.64862,0.3586,0.43218,0.23147,1.5371,3.40187,1.85835,0.000925108,0.000925108,0.000925108
5,692.995,1.29455,1.8177,1.45313,0.50248,0.47959,0.50136,0.27841,1.54941,3.34584,1.89922,0.00113588,0.00113588,0.00113588
6,825.959,1.34627,1.78568,1.45824,0.71859,0.32849,0.4572,0.22468,1.86721,3.18527,2.33835,0.00133675,0.00133675,0.00133675
7,955.686,1.35818,1.84101,1.47968,0.65585,0.49247,0.53733,0.30783,1.5276,2.99706,1.85531,0.00146896,0.00146896,0.00146896
8,1087.47,1.31092,1.68967,1.44774,0.40492,0.43871,0.35431,0.15688,1.78417,4.54895,2.17435,0.00143595,0.00143595,0.00143595
9,1223.63,1.30085,1.57529,1.44556,0.51256,0.57473,0.51458,0.24243,1.69911,3.42802,2.03119,0.00140295,0.00140295,0.00140295
10,1416.77,1.29765,1.59477,1.40228,0.40251,0.44032,0.3667,0.15941,1.78025,3.30664,1.96505,0.00136994,0.00136994,0.00136994
11,1573.1,1.24541,1.52123,1.39311,0.57363,0.60574,0.57159,0.2753,1.72801,2.62781,1.95767,0.00133693,0.00133693,0.00133693
12,1706.22,1.2265,1.45303,1.41303,0.64893,0.64301,0.65193,0.33263,1.58908,2.59099,1.76961,0.00130393,0.00130393,0.00130393
13,1876.79,1.20205,1.36285,1.35584,0.62279,0.56605,0.59962,0.30055,1.70291,2.58969,1.93634,0.00127092,0.00127092,0.00127092
14,2054.46,1.30489,1.36365,1.41178,0.62148,0.56953,0.5995,0.3421,1.63591,2.97068,1.8177,0.00123791,0.00123791,0.00123791
15,2215.64,1.22176,1.2886,1.36702,0.71687,0.6308,0.64342,0.35485,1.59455,2.19637,1.78704,0.00120491,0.00120491,0.00120491
16,2365.13,1.19425,1.23412,1.32505,0.71326,0.64247,0.64601,0.35492,1.49764,2.12098,1.71139,0.0011719,0.0011719,0.0011719
17,2514.06,1.15982,1.22859,1.33359,0.49492,0.65323,0.60607,0.32892,1.59099,2.25522,1.84095,0.00113889,0.00113889,0.00113889
18,2669.79,1.14955,1.18254,1.29996,0.55243,0.67878,0.61843,0.31544,1.50279,2.92185,1.71997,0.00110589,0.00110589,0.00110589
19,2822.86,1.12285,1.15076,1.30264,0.7447,0.78763,0.78445,0.41852,1.51756,1.82134,1.72104,0.00107288,0.00107288,0.00107288
20,2973.25,1.11939,1.13057,1.2888,0.79036,0.68925,0.7524,0.40839,1.59162,1.74047,1.73692,0.00103987,0.00103987,0.00103987
21,3117.74,1.14023,1.09037,1.26892,0.84446,0.79154,0.8368,0.46601,1.5326,1.4705,1.70364,0.00100687,0.00100687,0.00100687
22,3265.75,1.12818,1.0998,1.30678,0.70029,0.61601,0.64975,0.3249,1.88851,1.90608,2.06975,0.000973861,0.000973861,0.000973861
23,3430.76,1.13981,1.03813,1.30371,0.85564,0.64353,0.74225,0.43602,1.59976,1.67294,1.75466,0.000940855,0.000940855,0.000940855
24,3603.99,1.08447,0.94684,1.25668,0.71118,0.69086,0.69384,0.37085,1.59556,1.72762,1.73347,0.000907848,0.000907848,0.000907848
25,3784.4,1.04886,0.94307,1.2238,0.78941,0.6167,0.69199,0.3826,1.64488,1.73135,1.77832,0.000874842,0.000874842,0.000874842
26,3959.38,0.97263,0.92379,1.23008,0.74529,0.64301,0.70988,0.40621,1.54987,1.68311,1.7161,0.000841835,0.000841835,0.000841835
27,4130.28,1.02824,0.91684,1.22458,0.79253,0.75484,0.81023,0.46432,1.48616,1.41074,1.67048,0.000808828,0.000808828,0.000808828
28,4292.79,0.96787,0.84774,1.20236,0.84999,0.84868,0.8771,0.47864,1.52734,1.33478,1.70127,0.000775822,0.000775822,0.000775822
29,4455.5,0.99428,0.84582,1.18897,0.80641,0.81523,0.82357,0.49171,1.39167,1.34768,1.59487,0.000742815,0.000742815,0.000742815
30,4621.36,0.99627,0.81138,1.19467,0.81604,0.69854,0.79925,0.49204,1.42219,1.39542,1.57399,0.000709809,0.000709809,0.000709809
31,4760.26,0.9564,0.77597,1.15666,0.73311,0.79604,0.78251,0.49867,1.39851,1.33691,1.56947,0.000676802,0.000676802,0.000676802
32,4897.27,0.92643,0.8021,1.1652,0.78342,0.72151,0.79783,0.4971,1.36049,1.39869,1.60835,0.000643795,0.000643795,0.000643795
33,5031.98,0.86859,0.74149,1.14552,0.8447,0.73763,0.8124,0.45482,1.52219,1.38388,1.80297,0.000610789,0.000610789,0.000610789
34,5165.5,0.92046,0.78619,1.18804,0.82426,0.70893,0.80787,0.46907,1.46723,1.53301,1.72669,0.000577782,0.000577782,0.000577782
35,5298.3,0.88667,0.75389,1.14971,0.80881,0.78656,0.86455,0.52884,1.41257,1.1908,1.61709,0.000544776,0.000544776,0.000544776
36,5432.33,0.86444,0.729,1.12738,0.80382,0.82556,0.87049,0.50985,1.45329,1.17016,1.60774,0.000511769,0.000511769,0.000511769
37,5564.27,0.84639,0.72297,1.11767,0.80224,0.82097,0.84597,0.50677,1.43519,1.17215,1.59708,0.000478762,0.000478762,0.000478762
38,5697.55,0.84537,0.72423,1.12973,0.79416,0.78179,0.82062,0.49153,1.38042,1.26261,1.55467,0.000445756,0.000445756,0.000445756
39,5842.56,0.80713,0.6755,1.08355,0.75005,0.82204,0.78233,0.46391,1.37823,1.2847,1.55523,0.000412749,0.000412749,0.000412749
40,5977.3,0.83565,0.67139,1.10822,0.80733,0.73114,0.77905,0.47141,1.46754,1.20266,1.67793,0.000379743,0.000379743,0.000379743
41,6109.6,0.84127,0.75261,1.12529,0.86279,0.72627,0.81352,0.49146,1.51242,1.28907,1.72091,0.000346736,0.000346736,0.000346736
42,6242.43,0.77585,0.7085,1.07304,0.87009,0.76718,0.81855,0.48325,1.49614,1.34714,1.65582,0.000313729,0.000313729,0.000313729
43,6374.07,0.73438,0.64745,1.0413,0.7846,0.84982,0.84388,0.49377,1.52246,1.13655,1.71108,0.000280723,0.000280723,0.000280723
44,6503.08,0.74016,0.59558,1.04524,0.82006,0.84399,0.83914,0.47853,1.53868,1.16214,1.73954,0.000247716,0.000247716,0.000247716
45,6631.72,0.71575,0.62549,1.03812,0.78418,0.85161,0.83683,0.49439,1.50424,1.15824,1.68962,0.00021471,0.00021471,0.00021471
46,6769.99,0.7082,0.60033,1.04157,0.83948,0.76405,0.82773,0.50029,1.45493,1.22846,1.64606,0.000181703,0.000181703,0.000181703
47,6919.04,0.6977,0.58205,1.0056,0.74928,0.86714,0.82451,0.50454,1.44484,1.20763,1.61185,0.000148696,0.000148696,0.000148696
48,7047.86,0.65573,0.54934,1.00024,0.83506,0.7593,0.81094,0.49696,1.43299,1.17687,1.6007,0.00011569,0.00011569,0.00011569
49,7178.79,0.65053,0.55817,0.99427,0.74233,0.85411,0.82349,0.49181,1.41962,1.16038,1.59805,8.26832e-05,8.26832e-05,8.26832e-05
50,7309.27,0.65,0.57286,1.02635,0.74565,0.84154,0.83186,0.50586,1.41723,1.15424,1.60964,4.96766e-05,4.96766e-05,4.96766e-05
